1933
saber|Saebel, der
Sopran (m)|soprano
soprano|Sopran (m)
sore|weh
sore|wund
sore|Wunde (f)
sore throat|Halsschmerzen (m)
sore throat|Halsweh (m)
Sorge (f)|care
Sorge (f)|worry
sorgen|care
sorgenfrei|carefree
sorgenlos|carefree
sorgfältig|careful
sorgfältig|carefully
sorglos|carefree
sorgsam|careful
sorry|bedauernd
sorry|bedaure
sorry|leidtun
sorry|traurig
sorry|verzeihung
sound|dröhnen
sound|einwandfrei
sound|gehörig
sound|Geräusch (n)
sound|Gesund (m)
sound|klingen
soup|Suppe (f)
sour|sauer
south|süd
south|Süden (m)
South America|Sud Amerika
South American|Sud Amerikaner
South American|sud Amerikanisch
southeast|Südosten (m)
southeast|südöstlich
southwest|südwest
southwest|Südwesten (m)
southwest|südwestlich
souvenir|Andenken (n)
souvenir|Reiseandenken (n)
souvenir shop|Andenkenladen (m)
sowieso|anyhow
Sozialhilfem Sozial-|welfare
Sozialist (m)|socialist
Soße (f)|sauce
space|Abstand (m)
space|leerstelle
space|leerzeichen
space|Raum (m)
space|Zwischenraum (m)
spain|Spanien
spain|spanische
Spanien|spain
spanisch|Spanish
spanische|spain
Spanish|spanisch
Spann (m)|instep
spannend|interesting
spannte an|strained
Spannung (f)|voltage
spannungslos|cold
Spannweite (f)|spread
sparen|save
Spargelkohl (m)|broccoli
sparsam|economical
sparsam|economically
spart|save
Spass|gag
Spass|waggery
spazieren|walk
spazierengehen|walk
Spaziergang (m)|walk
Spaß (m)|joke
Spaßigkeit (f)|zaniness
speak louder please|sprechen Sie lauter, bitte
Specht (m)|woodpecker
special|besonder-
special|eilbote
special|sonder
special|spezial
specialty|Besonderheit (f)
Speck (m)|bacon
speech|Anrede (f)
speech|Rede (f)
speech|Sprache (f)
speed limit|Geschwindigkeitgrenze (f)
speeding|Geschwindigkeitsüberschreitung (f)
Speichellecker (m)|zany
Speicher (m)|memory
Speicheradressbereich (m)|bank
Speise (f)|food
Speisekarte (f)|menu
speisen|eat
speisend|dining
Speisewagen (m)|dining car
spell|Bann (m)
spell|buchstabieren
spell|richtig schreiben
spell|Zauber (m)
spell-check|zauberprüfen
Spende (f)|donation
spenden|donate
spenden|give
Sperre (f)|lock
sperren|lock
sperrte|blocked
spezial|special
Spiegel (m)|mirror
spiegeln|mirror
Spiel (n)|game
Spiel (n)|play
Spiele (pl)|games
spielen|play
spielen um geld|gamble
Spielfeld|ballfield
Spielfelder|ballfields
Spielplatz (m)|playground
Spielzeit (f)|run
Spießer|babbitt
spinach|Spinat (m)
Spinat (m)|spinach
Spindel|arbor
spine|Rückgrat (n)
spine|Wirbelsäule (f)
spirit|Geist (m)
spirit|Gemüt (n)
spirit|Seele (f)
Spirituosen (f)|liquor
Spitzbart (m)|goatee
Spitze (f)|lace
Spitze (f)|tip
Spitze (f)|toe
splinter|Splitter (m)
splinter|splittern
Splitter (m)|splinter
splittern|splinter
Splitterpartei (f)|faction
sponge|schmarotzen
sponge|Schwamm (m)
spoon|Löffel (m)
Sport (pl)|sports
sports|Sport (pl)
sports coat|Jacke (f)
Sportstaette|ballpark
Sprache (f)|language
Sprache (f)|speech
sprain|Verstauchung (f)
spray|Gischt (f)
spray|sprühen
spray|Spritze (f)
spray|spritzen
spray bottle|Gischtflasche (f)
spray can|Gischtbüchse (f)
spread|Aufstrich (m)
spread|ausbreiten
spread|Spannweite (f)
spread|streichen
spread|Verbreitung (f)
spread sheet|Verbreitungsblatt (n)
sprechen jemand hier Englisch|does anyone here speak English
sprechen Sie (...)|do you speak (...)
sprechen Sie lauter|speak louder please
Sprechzimmer (n)|living room
Spricht hier irgend jemand Englisch|does anybody here speak English
spricht jemand (...) hier|is there anyone here who speaks (...)
spricht jemand Englisch hier|is there someone who speaks English here
spring|Feder (f)
spring|Frühjahr (n)
spring|Frühling (m)
spring|springen
spring|Sprung (m)
Springbrunnen (m)|fountain
springen|branch
springen|spring
Springflut|tsunami
Spritze (f)|jab
Spritze (f)|spray
spritzen|spray
Sprung (m)|spring
sprunghaft|jumpy
spröde|reserved
Sprößling (m)|shoot
sprühen|spray
Spuk (m)|ghost
Spur|track
spät|late
später|later
Spühlbecken (n)|sink
spülen|wash
Spüllappen (m)|terrycloth
Spülung|rinse
square|Platz (m)
square|quadrat-
square|Quadrat (n)
square|viereckig
square|Winkel (m)
squash|Saft (f)
squash|zerquetschen
squeeze|drücken
squeeze|hineinzwängen
squeeze|quetschen
squeezed|komprimiere
squeezed|quetschte
squid|Tintenfisch (m)
squid|tintinfische
Staat (m)|government
Staat (m)|state
Staaten|nations
staatlich|d'etat
Staatsamt (n)|government office
Staatsangehörige (m)|citizen
Staatsarbeiter (m)|government worker
Staatsbürger|nationals
Staatsbürger (m)|citizen
Staatsbürokratie (f)|government bureaucracy
Staatsgebäuden (pl)|government buildings
Staatstheater (m)|national theater
Stab|wand
Stachelflosser|acanthopterygian
Stadion|ballpark
Stadium (n)|stage
Stadt (f)|city
Stadt (f)|town
Stadthaus (n)|townhouse
Stadtkarte (f)|map of the city
Stadtrecht (n)|municipal law
Stadtregierung (f)|municipal government
Staffel (m)|step
Staffelei (f)|easel
staffeln Graduierte (m)|graduate
stage|Bühne (f)
stage|Etappe (f)
stage|inszenieren
stage|Stadium (n)
stage|Stufe (f)
stainless steel|Rostfreistahl (m)
stairs|Treppen (pl)
Staket (n)|fence
Stamm (m)|tribe
Stamm (m)|trunk
stamp|abstempeln
stamp|Briefmarke (f)
stamp|Gepräge (f)
stamp|prägen
stamp|stampfen
stamped|frankiert
stampfen|stamp
Stand|booth
stand|andauern
stand|ausstehen
stand|Bude (f)
stand|Gestell (n)
stand|leiden
stand|stehen
standby|ersatz
standby|Reserve (f)
standing room|Stehplätze (pl)
standort|located
Standuhr (f)|clock
Standzeit (f)|life
staple|Hauptzeugnis (n)
staple|Heftklamme (f)
staple|klammern
staple|Krampe (f)
stapler|Heftklammer (m)
starch|Stärke (f)
starch|stärken
starch|Wäschestärke (f)
stark|strong
start|starten
starten|start
starten|take-off
state|angeben
state|Staat (m)
state|Verfassung (f)
state|vorbringen
state|Zustand (m)
stated|festgesetzt
stated|festgesetzt spezifiziert
stated|sagte aus
statement|Angabe (f)
statement|Anweisung (f)
statement|Ausführung (f)
statement|Aussage (f)
statt|instead
stattdessen|instead
stattlich|handsome
statue|Statue (f)
Statue (f)|statue
staunen|wonder
Stauung (f)|congestion
stay|bleiben
stay in lane|einordnen
steak|Filet (n)
steak|Steak (n)
Steak (n)|steak
steamed|gedämpft
stechen|jab
Steckdose (f)|outlet
Steckdose (m)|jackass
Stecken (m)|case
stecken Sie die Zunge raus|stick out your tongue
Steckenpferd (m)|hobby
Stecker (m)|jack
Stecker (m)|plug
Steckkarte (f)|card
Stecknadel (f)|pin
steer|führen
steer|lenken
steer|steuern
steer|stier
stehen|stand
Stehplätze (pl)|standing room
steigen|climb
steigen|rise
Stein (m)|rock
Stein (m)|stone
Steinbock (m)|Capricorn
Steinbruch|quarry
Steinbutt (m)|turbot
Steinpyramide|cairn
Steinschlag|falling rock
Stelle (f)|digit
stellen|put
Stellenwert (m)|weight
stellt her|fabricates
Stellvertretung|proxy
Stempel|cachet
stempeln|clock
stencil|Matritze (f)
step|abstufen
step|Schritt (m)
step|Staffel (m)
step|Stufe (f)
step|treten
step|Tritt (m)
Steppdecke (f)|quilt
steppe|Steppe (f)
Steppe (f)|steppe
steppen|stitch
sterben|die
sterling silver|Silber von Standardwert (n)
Sternzeichen|zodiac
Steuer (m)|duty
Steuerbürde (f)|tax burden
steuern|pilot
steuern|steer
steward|Steward (m)
Steward (m)|steward
stewardess|Stewardeß (f)
Stewardeß (f)|stewardess
stewed|gedämpft
Stich (m)|jab
Stich (m)|stitch
Stichtag (m)|deadline
stick out your tongue|stecken Sie die Zunge raus
Stiefel|boot
Stiefel|boots
Stiefel (pl)|boots
stier|glassy
stier|steer
Stier (m)|Taurus
Stift|crayon
Stift (m)|pin
stiften|donate
Stiftung|donation
still|quiet
still|dennoch
still|immernoch
still|noch
stillen|quench
Stimmabgabe (f)|vote
Stimme (f)|voice
Stimme (f)|vote
stimmen|vote
stimmlich|vocal
stimmungsvoll|intimate
stitch|heften
stitch|Masche (f)
stitch|Nähe (f)
stitch|steppen
stitch|Stich (m)
stock broker|Bösenmakler (m)
stock market|Bösenmarkt (m)
stockings|Seidenstrümpfen (pl)
stockings|Strümpfe (pl)
stocks|Bestände (pl)
Stockwerk (n)|floor
Stockwerk (n)|story
stodgy|schwerfällig
stomach|Magen (m)
stomach ache|Magenschmerzen (f)
stomach gas|Magengas (n)
stone|Stein (m)
stool|Hocker (m)
stool|Stuhlgang (m)
stop|anhalten
stop|aufhalten
stop|aufhören
stop|einhalten
stop|halt
stop|Halt (m)
stopfte|stuffed
stoppte ab|clocked
store|ablegen
store|Geschäft (n)
store|lagern
store|Magazin (n)
storm|stürm
storm|Stürm
story|Erzählung (f)
story|Etage (f)
story|Geschichte (f)
story|Schwank (m)
story|Stockwerk (n)
stotterer|stutter
stottern|stutterer
stove|Herd (m)
stove|Ofen (m)
Stoß (m)|jab
Stoß (m)|shove
stoßen|kick
strafbar|punishable
Strafe|punishment
Strafe (f)|fine
straff|tight
Strafgebühr (f)|fine
Strahl (m)|blink
Strahl (m)|jet
strahlen|radiate
Strahlenbiologe|radiobiologist
Strahlenbiologie|radiobiology
strahlenbiologisch|radiobiologic
strahlenbiologisch|radiobiological
strahlenbiologisch|radiobiologically
strahlend|radiating
Strahlentierchen|radiolarian
Strahlenökologe|radioecologist
Strahlenökologie|radioecology
Strahlenökologisch|radioecological
Strahlflugzeug (n)|jet plane
Strahlung|radiation
Strahlungs-|radiative
straight|direkt gerade
straight|gerade
straight|pur
straight|rein
straight|unverfälscht
strain|anspannen
strain|Anspannung (f)
strain|Belastung (f)
strain|dehnen
strain|Dehnung (f)
strained|spannte an
stramm|tight
strampeln|kick
Strand (m)|beach
Strandgut|waif
Strang (m)|rope
strange|seltsam
strapazieren|tax
Strauch (m)|bush
strawberry|Erdbeere (f)
Straße (f)|road
Straße (f)|street
Straßenbahn (f)|streetcar
Straßenbahnwagen (m)|streetcar
Straßenbau|roadwork ahead
Straßenglätte|slippery surface
stream|strömen
stream|Strom (m)
Streber|keener
street|Straße (f)
streetcar|Straßenbahn (f)
streetcar|Straßenbahnwagen (m)
streicheln|caress
streichen|paint
streichen|spread
Streichhölzer (pl)|matches
Streit|quarrel
streiten|fight
Streue (f)|tax
Strick (m)|cord
Strick (m)|rope
stricken|knit
strickend|knitting
strickte|knitted
Strickzeu (n)g|knitting
striegeln|curry
stringy|klebrig
Strom (m)|current
Strom (m)|river
Strom (m)|stream
Stromspannung (f)|voltage
strong|dauerhaft
strong|kräftig
strong|stark
strong cold thing|ice
Strumpfhose (f)|panty hose
strömen|stream
Strömung (f)|current
Strümpfe (pl)|stockings
Stube (f)|room
student|Schüler (m)
student|Student (m)
Student (m)|student
Studium|study
study|Studium
studying|hakk
Stufe (f)|stage
Stufe (f)|step
stufenweise|gradual
stuffed|stopfte
Stuhl (m)|chair
Stuhlgang (m)|stool
stumpf|stupid
Stunde (f)|hour
stupid|blöde
stupid|borniert
stupid|dumm
stupid|duselig
stupid|stumpf
Sturz (m)|fall
stutter|stotterer
stutterer|stottern
sty|Schweinestall (m)
städtisch|municipal
Stände|booths
ständig|habitually
ständig|permanent
ständig|permanently
ständig sprechen|talk incessantly
Stärke (f)|starch
stärken|starch
stärkend|tonic
Stärkung (f)|snack
Stärkungsmittel (n)|tonic
Stöpsel (m)|plug
stören|upset
Stück (n)|play
Stück (n)|portion
Stücke (pl)|parts
Stücksaß|butt
stürm|storm
Stürm|storm
Stütze (f)|help
subject|Satzgegenstand (m)
subject|Subjekt (n)
subject|Thema (n)
Subjekt (n)|subject
submarine|Unterseeböote; U-böote
submariner|Unterseeböotemann
submariners|Unterseeböotetruppen
submarines|Unterseeböoten
subscribe|abonnieren
subscribe|unterzeichnen
subscribe|vertrag unterzeichnen
Substantiv (n)|noun
suburb|Vorort (m)
suburb|Vorstadt (f)
suburban|vorstädtisch
subway|U-Bahn (f)
subway|Unterführung (f)
subway|Untergrundbahn (f)
successful|erfolgreich
Suche (f)|quest
Suche (f)|search
suchen|search
suchend für|searching for
Sucht (f)|rage
Sud Amerika|South America
Sud Amerikaner|South American
sud Amerikanisch|South American
suede|Wildleder (n)
Suendhaftigkeit|peccancy
suendig|peccant
sugar|Zucker (m)
sugar cane|Zucherrohr (n)
sugary|zucker
suhen|seek
suit|anpassen
suit|Anzug (m)
suit|Farbe (f)
suitcase|Handkoffer (m)
suitcase|Koffer (m)
suite|Reihe (f)
sulfa|Sulfa (n)
Sulfa (n)|sulfa
summen|buzz
summer|Sommer (m)
Sumpf|quagmire
sun|Sonne (f)
sun umbrella|Sonnenschirm (m)
sunburn|Sonnenbrand (m)
Sunday|Sonntag (m)
sunglasses|Sonnenbrille (f)
sunny|sonnig
sunrise|Sonnenaufgang (m)
sunset|Sonnenuntergang (m)
super|über-
super|prima
super|super-
super-|super
supermarket|Supermarkt (m)
Supermarkt (m)|supermarket
Suppe (f)|soup
supper|Abendessen (n)
suppositories|Zäpfchen (pl)
surf|Brandung (f)
surf|Wellenreiten (m)
surfboard|Wellenreiterbrett (n)
surfer|Wellenreiter (m)
surren|buzz
Surren|zip
surrogate|ersatz
suture|zunähen
sweater|Pullover (m)
sweet|süß
sweetly|süß
swimming|schwimmend
switch|rangieren
switch|schalten
switch|Schalter (m)
switch|umschalten
switch|Weiche (f)
Synagoge (f)|synagogue
synagogue|Synagoge (f)
synonym|sinnverwandtes Wort (n)
synonym|Synonym (n)
Synonym (n)|synonym
system|Anlage (n)
system|System (n)
System (n)|system
Systemverwaltungsbedarf (m)|overhead
Szene (f)|scene
Säbelzahn|sabertooth
Säge (f)|saw
sägen|saw
Sättel|saddles
Sätze (pl)|records
säuberlich|careful
Säugling (m)|baby
Säulengang (m)|arcade
süd|south
Süden (m)|south
Südosten (m)|southeast
südwest|southwest
Südwesten (m)|southwest
südwestlich|southwest
südöstlich|southeast
süssen|saccharify
süß|sweet
süß|sweetly
Süßkartoffel (m)|yam
