1322
babbitt|Spießer
buy|kaufen
buyer|Kaufer
buys|kauft
buzz|brummen
buzz|schnarren
buzz|summen
buzz|surren
by|mit
bygone|vergangene
bypass|umfahrt
Bäckerei (f)|bakery
Bärenklau|acanthus
bäumen|rear
Böschung (f)|bank
Bösenmakler (m)|stock broker
Bösenmarkt (m)|stock market
Bösewicht (m)|villain
Bücherei (f)|library
Büchse (f)|can
Büchse (f)|rifle
Büfett (n)|buffet
bügeln|iron
Bühne (f)|stage
Bündel (n)|bunch
bündeln|bunch
Bürger (m)|citizen
Bürgersteig (m)|sidewalk
Bürgschaft (f)|bond
Büro (n)|office
Büroangestellte (m)|clerk
Bürste (f)|brush
bürsten|brush
Büschel (m)|bunch
